cell,dataset,attack_class_paper_wording,technique_id,technique_name,tactic,confidence,verbatim_evidence,source
1,Edge-IIoTset,DoS/DDoS (TCP SYN/UDP/HTTP/ICMP flood),T0814,Denial of Service,Inhibit Response Function,high,DoS/DDoS attacks make the victim's IoT edge server unavailable to legitimate requests by sending manipulated packets,Ferrag et al. 2022 IEEE Access Sec.B-1
1,Edge-IIoTset,Information gathering (port scan),T0846,Remote System Discovery,Discovery,high,discover which ports are open... discover active hosts using the Nmap and Netcat tools,Ferrag et al. 2022 Sec.B-2
1,Edge-IIoTset,Information gathering (port scan),T0840,Network Connection Enumeration,Discovery,high,obtain the composition of a network's architecture (weakest of the three; port/connection enumeration),Ferrag et al. 2022 Sec.B-2
1,Edge-IIoTset,Information gathering (OS fingerprinting),T0888,Remote System Information Discovery,Discovery,high,"the operating system, active security devices like firewalls",Ferrag et al. 2022 Sec.B-2
1,Edge-IIoTset,Man in the middle (ARP/DNS spoofing),T0830,Adversary-in-the-Middle,Collection,high,compromise and alter the flow of communication between two sides... ARP Spoofing and DNS Spoofing,Ferrag et al. 2022 Sec.B-3
1,Edge-IIoTset,Injection attacks (XSS/SQLi/upload),T1190,Exploit Public-Facing Application,Enterprise,enterprise,"sending a malicious script... access sensitive information, session tokens, cookies (web-app; not ICS)",Ferrag et al. 2022 Sec.B-4 + ATT&CK Enterprise
1,Edge-IIoTset,Malware (backdoor),T1219,Remote Access Software,Enterprise,enterprise,installing backdoors to take control of vulnerable IoT network components,Ferrag et al. 2022 Sec.B-5 + ATT&CK Enterprise
1,Edge-IIoTset,Malware (password cracking),T1110,Brute Force,Enterprise,enterprise,Password cracking attack,Ferrag et al. 2022 Sec.B-5 + ATT&CK Enterprise
1,Edge-IIoTset,Malware (ransomware),T1486,Data Encrypted for Impact,Enterprise,enterprise,Ransomware attack,Ferrag et al. 2022 Sec.B-5 + ATT&CK Enterprise
3,X-IIoTID,Reconnaissance (generic scanning; resource discovery),T0846,Remote System Discovery,Discovery,high,"generic scanning... listening ports, its OS and available services... Nmap; discovering CoAP resources (sensor values, actuators)",Al-Hawawreh et al. 2022 IoTJ Sec.III-B-1
3,X-IIoTID,Reconnaissance (OS fingerprinting),T0888,Remote System Information Discovery,Discovery,high,generic scanning... its Operating System (OS) and available services,Al-Hawawreh et al. 2022 Sec.III-B-1
3,X-IIoTID,Weaponization (SSH brute force),T1110,Brute Force,Enterprise,enterprise,"explore a password from a dictionary, or word list... against SSH using the Hydra tool... super-user credentials are returned",Al-Hawawreh et al. 2022 Sec.III-B-2 + ATT&CK Enterprise
3,X-IIoTID,Exploitation (reverse shell/backdoor),T1219,Remote Access Software,Enterprise,enterprise,create a persistent reverse TCP shell/backdoor in the edge gateway,Al-Hawawreh et al. 2022 Sec.III-B-3 + ATT&CK Enterprise
3,X-IIoTID,Exploitation (MitM edge gateway-router),T1557,Adversary-in-the-Middle,Enterprise,enterprise,"exploit communications between the edge gateway and router and send packets with a false source address to fool the edge gateway (IT link, not OT)",Al-Hawawreh et al. 2022 Sec.III-B-3 + ATT&CK Enterprise
